"Full_Name";"Locality_Siege";"CountryCode";"Continent";"Region";"Y";"X";"Pop_collect";"Statut";"Entity";"Year_of_Joining";"Note";"Network_Name";"Code_Network";"EntitySimplified";"CountryName";"MembershipCode";"Adress";"lon";"lat"
"Tours";"Tours";"FR";"Europe";"Western Europe";"47.394144";"0.6848400000000083";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A27";"Tours, France";0,68484;47,394144
"Vienne";"Vienne";"FR";"Europe";"Western Europe";"45.525587";"4.874338999999964";NA;"Full Member";"Municipal Authority";NA;NA;"AVEC";"00535";"Municipality";"France";"A28";"Vienne, France";4,874339;45,525587
"Intercommunal Development Agency (Tournai) ";"Tournai";"BE";"Europe";"Western Europe";"50.6";"3.383";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Belgium";"A29";"Tournai, Belgium";3,3879338;50,6056475
"Intercommunal Council - Belgium Vice-Presidency of ACTE (Mouscron) ";"Mouscron";"BE";"Europe";"Western Europe";"50.7459126";"3.2192906999999877";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Belgium";"A30";"Mouscron, Belgium";3,2192907;50,7459126
"Renaix/Ronse";"Ronse";"BE";"Europe";"Western Europe";"50.7505367";"3.6005095000000438";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Belgium";"A31";"Ronse, Belgium";3,6005095;50,7505367
"Grad Krapina";"Krapina";"HR";"Europe";"Southern Europe";"46.166667";"15.883333";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Croatia";"A32";"Krapina, Croatia";15,8724103;46,160492
"Grad Varazdin";"Varazdin";"HR";"Europe";"Southern Europe";"45.8149649";"16.134495199999947";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Croatia";"A33";"Varazdin, Croatia";16,3366066;46,305746
"Conseil Général des Vosges (Épinal) ";"Épinal";"FR";"Europe";"Western Europe";"48.172402";"6.449402999999961";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"France";"A34";"Épinal, France";6,449403;48,172402
"Conseil Régional Nord Pas de Calais (Lille) ";"Lille";"FR";"Europe";"Western Europe";"50.62925";"3.057256000000052";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"France";"A35";"Lille, France";3,057256;50,62925
"Le Grand Roanne, Communauté d'Agglomération";"Roanne";"FR";"Europe";"Western Europe";"46.034432";"4.072695000000067";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"France";"A36";"Roanne, France";4,072695;46,034432
"Lille Métropole Communauté Urbaine (Lille) ";"Lille";"FR";"Europe";"Western Europe";"50.62925";"3.057256000000052";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"France";"A37";"Lille, France";3,057256;50,62925
"Calais";"Calais";"FR";"Europe";"Western Europe";"50.95129000000001";"1.8586860000000343";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"France";"A38";"Calais, France";1,858686;50,95129
"Caudry";"Caudry";"FR";"Europe";"Western Europe";"50.124269";"3.410122000000001";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"France";"A39";"Caudry, France";3,410122;50,124269
"Agliana";"Agliana";"IT";"Europe";"Southern Europe";"43.9004209";"10.999923299999978";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A40";"Agliana, Italy";10,997658;43,892127
"Appignano";"Appignano";"IT";"Europe";"Southern Europe";"43.3636361";"13.347078199999942";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A41";"Appignano, Italy";13,3702811;43,3760942
"Biella";"Biella";"IT";"Europe";"Southern Europe";"45.56288420000001";"8.058339700000033";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A42";"Biella, Italy";8,0583397;45,5628842
"Carpi";"Carpi";"IT";"Europe";"Southern Europe";"44.7838779";"10.879662899999971";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A43";"Carpi, Italy";10,8796629;44,7838779
"Castelfiorentino";"Castelfiorentino";"IT";"Europe";"Southern Europe";"43.6041852";"10.96971289999999";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A44";"Castelfiorentino, Italy";10,9697129;43,6041852
"Civitanova Marche";"Civitanova Marche";"IT";"Europe";"Southern Europe";"43.3048492";"13.721835100000021";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A45";"Civitanova Marche, Italy";13,6941672;43,3182155
"Corridonia";"Corridonia";"IT";"Europe";"Southern Europe";"43.2502078";"13.513169000000062";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A46";"Corridonia, Italy";13,513169;43,2502078
"Montecosaro";"Montecosaro";"IT";"Europe";"Southern Europe";"43.3163622";"13.639233399999966";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A47";"Montecosaro, Italy";13,6392334;43,3163622
"Montemurlo";"Montemurlo";"IT";"Europe";"Southern Europe";"43.9268624";"11.037207099999932";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A48";"Montemurlo, Italy";11,0598617;43,9285163
"Prato";"Prato";"IT";"Europe";"Southern Europe";"43.8777049";"11.102227999999968";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A49";"Prato, Italy";11,102228;43,8777049
"Riccione";"Riccione";"IT";"Europe";"Southern Europe";"43.999296";"12.655548500000009";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A50";"Riccione, Italy";12,6503292;43,9921085
"San Mauro Pascoli";"San Mauro Pascoli";"IT";"Europe";"Southern Europe";"44.1067581";"12.414345000000026";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A51";"San Mauro Pascoli, Italy";12,4323265;44,1194341
"Schio ";"Schio ";"IT";"Europe";"Southern Europe";"45.7170517";"11.359770199999957";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Italy";"A52";"Schio , Italy";11,3597702;45,7170517
"Provincia di Prato";"Provincia di Prato";"IT";"Europe";"Southern Europe";"44.04539";"11.116445200000044";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"Italy";"A53";"Provincia di Prato, Italy";11,1164452;44,04539
"Regione Piemonte";"Regione Piemonte";"IT";"Europe";"Southern Europe";"45.0522366";"7.515388499999972";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"Italy";"A54";"Regione Piemonte, Italy";7,5153885;45,0522366
"Regione Toscana ";"Regione Toscana ";"IT";"Europe";"Southern Europe";"43.7710513";"11.248620800000026";NA;"Effective Member";"Regional Authorities";NA;NA;"ACTE";"01903";"Region";"Italy";"A55";"Regione Toscana , Italy";11,2486208;43,7710513
"Štip";"Štip";"MK";"Europe";"Southern Europe";"41.746429";"22.19965400000001";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Macedonia";"A56";"Štip, Macedonia";22,199654;41,746429
"Tetovo";"Tetovo";"MK";"Europe";"Southern Europe";"42.0069115";"20.97152690000007";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Macedonia";"A57";"Tetovo, Macedonia";20,9715269;42,0069115
"Lodz";"Lodz";"PL";"Europe";"Eastern Europe";"51.7592485";"19.45598330000007";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Poland";"A58";"Lodz, Poland";19,4559833;51,7592485
"Rzgow";"Rzgow";"PL";"Europe";"Eastern Europe";"51.6631882";"19.489958";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Poland";"A59";"Rzgow, Poland";19,4897529;51,662929
"Associação de Municípios do Vale do Ave (AMAVE)";"Vale do Ave";"PT";"Europe";"Southern Europe";"40.84091859999999";"-8.396561499999962";NA;"Effective Member";"Intermunicipality";NA;NA;"ACTE";"01903";"Intermunicipality";"Portugal";"A60";"Vale do Ave, Portugal";-8,3973052;41,3911121
"Covilhã";"Covilhã";"PT";"Europe";"Southern Europe";"40.2804158";"-7.492240700000025";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Portugal";"A61";"Covilhã, Portugal";-7,4922407;40,2804158
"Felgueiras";"Felgueiras";"PT";"Europe";"Southern Europe";"41.3664104";"-8.197196800000029";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Portugal";"A62";"Felgueiras, Portugal";-8,1951206;41,367707
"Agullent";"Agullent";"ES";"Europe";"Southern Europe";"38.8229998";"-0.5494063999999526";NA;"Effective Member";"Municipality";NA;NA;"ACTE";"01903";"Municipality";"Spain";"A63";"Agullent, Spain";-0,5494064;38,8229998
