"Name";"timezone.gmtOffset";"timezone.timeZoneId";"timezone.dstOffset";"bbox.east";"bbox.south";"bbox.north";"bbox.west";"bbox.accuracyLevel";"asciiName";"astergdem";"countryId";"fcl";"srtm3";"score";"adminId2";"adminId3";"countryCode";"adminCodes1.ISO3166_2";"adminId1";"lat";"fcode";"continentCode";"adminCode2";"adminCode3";"adminCode1";"lng";"geonameId";"toponymName";"population";"adminName5";"adminName4";"adminName3";"alternateNames.name";"alternateNames.lang";"alternateNames.isPreferredName";"adminName2";"name";"fclName";"countryName";"fcodeName";"adminName1";"adminCodes2.ISO3166_2";"elevation";"adminId4";"adminCode4";"alternateNames.isHistoric";"alternateNames.isShortName";"adminId5";"adminCode5";"cc2"
"Örebro";"1";"Europe/Stockholm";"2";"15.2849804566043";"59.1776235933772";"59.3356907255766";"15.126371684088";"10";"OErebro";"36";"2661886";"P";"35";"251.477294921875";"2686656";NA;"SE";"T";"2686655";"59.27412";"PPLA";"EU";"1880";NA;"15";"15.2066";"2686657";"Örebro";"115765";"";"";"";"أوربرو";"ar";"TRUE";"Örebro Kommun";"Örebro";"city, village,...";"Sweden";"seat of a first-order administrative division";"Örebro";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Osijek";"1";"Europe/Zagreb";"2";"18.7487920490201";"45.5126902156919";"45.5895319843081";"18.6389857509799";"2";"Osijek";"84";"3202326";"P";"87";"296.025360107422";"3193934";NA;"HR";"14";"3337522";"45.55111";"PPLA";"EU";"3193934";NA;"10";"18.69389";"3193935";"Osijek";"88140";"";"";"";"Osijek";"bs";NA;"Grad Osijek";"Osijek";"city, village,...";"Croatia";"seat of a first-order administrative division";"Osječko-Baranjska";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oslo";"1";"Europe/Oslo";"2";"10.9438148725914";"59.8139021171325";"60.0115578828676";"10.5483651274086";"2";"Oslo";"20";"3144096";"P";"26";"362.094268798828";"6453366";NA;"NO";"03";"3143242";"59.91273";"PPLC";"EU";"0301";NA;"12";"10.74609";"3143244";"Oslo";"580000";"";"";"";"ኦስሎ";"am";NA;"Oslo";"Oslo";"city, village,...";"Norway";"capital of a political entity";"Oslo";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ostrava";"1";"Europe/Prague";"2";"18.3946309653336";"49.7621360857061";"49.9071543143695";"18.169457192984";"2";"Ostrava";"219";"3077311";"P";"211";"292.254913330078";"3068798";"11921098";"CZ";"80";"3339573";"49.83465";"PPLA";"EU";"0806";"554821";"85";"18.28204";"3068799";"Ostrava";"313088";"";"";"Ostrava";"أوسترافا";"ar";NA;"Okres Ostrava-město";"Ostrava";"city, village,...";"Czechia";"seat of a first-order administrative division";"Moravskoslezský";"806";NA;NA;NA;NA;NA;NA;NA;NA
"Ottignies-Louvain-La-Neuve";"1";"Europe/Brussels";"2";"4.6492036601187";"50.6462568997988";"50.6903166005324";"4.5796552876352";"2";"Louvain-la-Neuve";"120";"2802361";"P";"117";"88.0459594726562";"3333251";"2790100";"BE";"WAL";"3337387";"50.66829";"PPL";"EU";"WBR";"25";"WAL";"4.61443";"2792073";"Louvain-la-Neuve";"29521";"";"Ottignies-Louvain-la-Neuve";"Arrondissement of Nivelles";"ルーヴァン＝ラ＝ヌーヴ";"ja";NA;"Walloon Brabant Province";"Louvain-la-Neuve";"city, village,...";"Belgium";"populated place";"Wallonia";"WBR";NA;"2789571";"25121";NA;NA;NA;NA;NA
"Ourense";"1";"Europe/Madrid";"2";"-7.80663604403069";"42.2942675982191";"42.3791135108484";"-7.92149429654548";"2";"Ourense";"163";"2510769";"P";"146";"183.295562744141";"3114964";"6359872";"ES";"GA";"3336902";"42.33669";"PPLA2";"EU";"OR";"32054";"58";"-7.86407";"3114965";"Ourense";"107742";"";"";"Ourense";"Ourense";"de";NA;"Ourense";"Ourense";"city, village,...";"Spain";"seat of a second-order administrative division";"Galicia";"OR";NA;NA;NA;NA;NA;NA;NA;NA
"Paços De Ferreira";"0";"Europe/Lisbon";"1";"-8.36279236249888";"41.266515795013";"41.286626204987";"-8.38955563750112";"2";"Pacos de Ferreira";"311";"2264397";"P";"312";"90.7938690185547";"8010585";"8014485";"PT";"13";"2735941";"41.27657";"PPLA2";"EU";"1309";"130912";"17";"-8.37617";"2736883";"Paços de Ferreira";"6782";"";"";"Paços de Ferreira";"Paços de Ferreira";"de";NA;"Paços de Ferreira Municipality";"Paços de Ferreira";"city, village,...";"Portugal";"seat of a second-order administrative division";"Porto";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Palermo";"1";"Europe/Rome";"2";"13.4472953210082";"38.0614789600206";"38.2194860434847";"13.2675593011801";"10";"Palermo";"50";"3175395";"P";"46";"278.00048828125";"2523918";"6542127";"IT";"82";"2523119";"38.13205";"PPLA";"EU";"PA";"082053";"15";"13.33561";"2523920";"Palermo";"648260";"";"";"Palermo";"Palermo";"af";"TRUE";"Province of Palermo";"Palermo";"city, village,...";"Italy";"seat of a first-order administrative division";"Sicily";"PA";"14";NA;NA;NA;NA;NA;NA;NA
"Paola";"1";"Europe/Malta";"2";"14.5135737002112";"35.8611585210123";"35.8849534789877";"14.4842042997888";"2";"Paola";"9";"2562770";"P";"9";"99.6802520751953";NA;NA;"MT";"39";"8299738";"35.87306";"PPLA";"EU";NA;NA;"39";"14.49889";"2562617";"Paola";"9257";"";"";"";"پائۆلا";"ckb";NA;"";"Paola";"city, village,...";"Malta";"seat of a first-order administrative division";"Paola";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Paris";"1";"Europe/Paris";"2";"2.4672595671625";"48.8157571461016";"48.9016517752508";"2.22422457022508";"10";"Paris";"36";"3017382";"P";"42";"343.57763671875";"2968815";NA;"FR";"IDF";"3012874";"48.85341";"PPLC";"EU";"75";NA;"11";"2.3488";"2988507";"Paris";"2138551";"";"";"";"Parys";"af";"TRUE";"Paris";"Paris";"city, village,...";"France";"capital of a political entity";"Île-de-France";NA;NA;NA;NA;"TRUE";"TRUE";NA;NA;NA
"Parma";"1";"Europe/Rome";"2";"10.3843054535966";"44.7535718713106";"44.8395189310769";"10.2634385555609";"10";"Parma";"66";"3175395";"P";"64";"154.809219360352";"3171456";"6540120";"IT";"45";"3177401";"44.79935";"PPLA2";"EU";"PR";"034027";"05";"10.32618";"3171457";"Parma";"146299";"";"";"Parma";"بارما";"ar";NA;"Province of Parma";"Parma";"city, village,...";"Italy";"seat of a second-order administrative division";"Emilia-Romagna";"PR";"57";NA;NA;NA;NA;NA;NA;NA
"Patras";"2";"Europe/Athens";"3";"21.8022409235625";"38.1912368564454";"38.2976511435546";"21.6666470764375";"2";"Patra";"25";"390903";"P";"20";"293.496673583984";"265491";"8133690";"GR";"G";"6697810";"38.24444";"PPLA";"EU";"38";"9134";"ESYE23";"21.73444";"255683";"Pátra";"168034";"";"";"Patras";"Патра";"bg";"TRUE";"Achaea";"Pátrai";"city, village,...";"Greece";"seat of a first-order administrative division";"West Greece";"13";NA;NA;NA;NA;NA;NA;NA;NA
"Pécs";"1";"Europe/Budapest";"2";"18.3048071473136";"46.0212283135582";"46.1237716864417";"18.1568588526864";"2";"Pecs";"135";"719819";"P";"-32768";"246.0380859375";NA;NA;"HU";"BA";"3055399";"46.0725";"PPLA";"EU";NA;NA;"02";"18.23083";"3046526";"Pécs";"156649";"";"";"";"بيتش";"ar";"TRUE";"";"Pécs";"city, village,...";"Hungary";"seat of a first-order administrative division";"Baranya";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pergine Valsugana";"1";"Europe/Rome";"2";"11.259900036895";"46.0501669879686";"46.0763078307437";"11.2128106286358";"10";"Pergine Valsugana";"481";"3175395";"P";"477";"122.548324584961";"3165241";"6536242";"IT";"32";"3165244";"46.06434";"PPLA3";"EU";"TN";"022139";"17";"11.23758";"3171214";"Pergine Valsugana";"11538";"";"";"Pergine Valsugana";"Pergine Valsugana";"de";NA;"Province of Trente";"Pergine Valsugana";"city, village,...";"Italy";"seat of a third-order administrative division";"Trentino-Alto Adige";"TN";"482";NA;NA;NA;NA;NA;NA;NA
"Pesaro";"1";"Europe/Rome";"2";"12.9450559624453";"43.8738377223021";"43.9257888201151";"12.8414618784442";"10";"Pesaro";"10";"3175395";"P";"9";"151.364440917969";"3171172";"6542003";"IT";"57";"3174004";"43.90921";"PPLA2";"EU";"PU";"041044";"10";"12.9164";"3171173";"Pesaro";"77241";"";"";"Pesaro";"Pesaro";"ca";NA;"Pesaro and Urbino";"Pesaro";"city, village,...";"Italy";"seat of a second-order administrative division";"The Marches";"PU";"11";NA;NA;NA;NA;NA;NA;NA
"Pescara";"1";"Europe/Rome";"2";"14.2544817870635";"42.4171606741966";"42.4939660101184";"14.1528968294589";"10";"Pescara";"7";"3175395";"P";"5";"146.912750244141";"3171163";"6540108";"IT";"65";"3183560";"42.4584";"PPLA2";"EU";"PE";"068028";"01";"14.20283";"3171168";"Pescara";"116596";"";"";"Pescara";"بيسكارا";"ar";NA;"Provincia di Pescara";"Pescara";"city, village,...";"Italy";"seat of a second-order administrative division";"Abruzzo";"PE";"4";NA;NA;NA;NA;NA;NA;NA
"Petrinja";"1";"Europe/Zagreb";"2";"16.3112605138559";"45.4225857207976";"45.4524142792024";"16.2687394861441";"2";"Petrinja";"125";"3202326";"P";"111";"67.0472869873047";"3193419";NA;"HR";"03";"3337526";"45.4375";"PPLA2";"EU";"3193419";NA;"14";"16.29";"3193420";"Petrinja";"13868";"";"";"";"https://en.wikipedia.org/wiki/Petrinja";"link";NA;"Grad Petrinja";"Petrinja";"city, village,...";"Croatia";"seat of a second-order administrative division";"Sisačko-Moslavačka";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Piacenza";"1";"Europe/Rome";"2";"9.77075889339258";"45.0154258544491";"45.0691382813975";"9.63507348635905";"10";"Piacenza";"63";"3175395";"P";"65";"135.277206420898";"3171057";"6542025";"IT";"45";"3177401";"45.05242";"PPLA2";"EU";"PC";"033032";"05";"9.69342";"3171058";"Piacenza";"93228";"";"";"Piacenza";"П'ячэнца";"be";NA;"Provincia di Piacenza";"Piacenza";"city, village,...";"Italy";"seat of a second-order administrative division";"Emilia-Romagna";"PC";"61";NA;NA;NA;NA;NA;NA;NA
"Piraeus";"2";"Europe/Athens";"3";"23.7127342478905";"37.8895884667713";"37.9944715332287";"23.5796457521095";"2";"Piraeus";"28";"390903";"P";"-32768";"202.054138183594";"264353";NA;"GR";"I";"6692632";"37.94203";"PPLA3";"EU";"35";NA;"ESYE31";"23.64619";"255274";"Piraeus";"163688";"";"";"";"بيرايوس";"ar";"TRUE";"Attica";"Piraeus";"city, village,...";"Greece";"seat of a third-order administrative division";"Attica";"A1";NA;NA;NA;NA;NA;NA;NA;NA
"Plasencia";"1";"Europe/Madrid";"2";"-6.05419041298678";"40.0049392333856";"40.0573807666144";"-6.12270558701322";"2";"Plasencia";"372";"2510769";"P";"368";"107.28303527832";"2520610";"6356843";"ES";"EX";"2593112";"40.03116";"PPLA3";"EU";"CC";"10148";"57";"-6.08845";"3113331";"Plasencia";"41148";"";"";"Plasencia";"بلاسينثيا";"ar";"TRUE";"Caceres";"Plasencia";"city, village,...";"Spain";"seat of a third-order administrative division";"Extremadura";"CC";NA;NA;NA;NA;NA;NA;NA;NA
"Plungé";"2";"Europe/Vilnius";"3";"21.8791569151421";"55.8917876969794";"55.9309901030206";"21.8091764848579";"2";"Plunge";"107";"597427";"P";"106";"81.5691528320312";NA;NA;"LT";"TE";"864483";"55.91139";"PPL";"EU";NA;NA;"63";"21.84417";"595689";"Plunge";"23381";"";"";"";"Plungė";"en";NA;"";"Plungė";"city, village,...";"Lithuania";"populated place";"Telsiai";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Poitiers";"1";"Europe/Paris";"2";"0.398650028886514";"46.5447200843052";"46.6205019156948";"0.288313971113486";"2";"Poitiers";"128";"3017382";"P";"-32768";"124.000579833984";"2969280";"2986494";"FR";"NAQ";"11071620";"46.58261";"PPLA2";"EU";"86";"863";"75";"0.34348";"2986495";"Poitiers";"85960";"";"Poitiers";"Poitiers";"Piteus";"an";"TRUE";"Vienne";"Poitiers";"city, village,...";"France";"seat of a second-order administrative division";"Nouvelle-Aquitaine";"86";NA;"6445329";"86194";NA;NA;NA;NA;NA
"Pori";"2";"Europe/Helsinki";"3";"21.8581811024866";"61.447640863037";"61.519025736963";"21.7084854975134";"2";"Pori";"4";"660013";"P";"-32768";"208.83984375";"9610679";"641000";"FI";"17";"831041";"61.48333";"PPLA";"EU";"043";"609";"04";"21.78333";"640999";"Pori";"76772";"";"";"Pori";"بوري";"ar";"TRUE";"Pori";"Pori";"city, village,...";"Finland";"seat of a first-order administrative division";"Satakunta";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Porto";"0";"Europe/Lisbon";"1";"-8.52477931615672";"41.0847518765464";"41.2144601234536";"-8.69720668384328";"2";"Porto";"76";"2264397";"P";"97";"262.443359375";"6458924";"8012861";"PT";"13";"2735941";"41.14961";"PPLA";"EU";"1312";"131212";"17";"-8.61099";"2735943";"Porto";"249633";"";"";"Santo Ildefonso";"بورتو";"ar";"TRUE";"Porto Municipality";"Porto";"city, village,...";"Portugal";"seat of a first-order administrative division";"Porto";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Potenza";"1";"Europe/Rome";"2";"15.8633536442621";"40.6149558366242";"40.6674581137494";"15.7680619653986";"10";"Potenza";"767";"3175395";"P";"760";"179.835571289062";"3170025";"6541470";"IT";"77";"3182306";"40.64175";"PPLA";"EU";"PZ";"076063";"02";"15.80794";"3170027";"Potenza";"56433";"";"";"Potenza";"Potenza";"bs";NA;"Provincia di Potenza";"Potenza";"city, village,...";"Italy";"seat of a first-order administrative division";"Basilicate";"PZ";"819";NA;NA;NA;NA;NA;NA;NA
"Potsdam";"1";"Europe/Berlin";"2";"13.1468222860157";"52.3493927531574";"52.448322889423";"12.9845024820507";"2";"Potsdam";"47";"2921044";"P";"34";"174.462158203125";NA;"2852455";"DE";"BB";"2945356";"52.39886";"PPLA";"EU";"00";"12054";"11";"13.06566";"2852458";"Potsdam";"145292";"";"Potsdam";"Kreisfreie Stadt Potsdam";"Potsdam";"af";"TRUE";"";"Potsdam";"city, village,...";"Germany";"seat of a first-order administrative division";"Brandenburg";NA;NA;"7602560";"12054000";NA;NA;NA;NA;NA
"Poznan";"1";"Europe/Warsaw";"2";"17.0909421871804";"52.3089161315662";"52.504928161765";"16.7689210940696";"2";"Poznan";"78";"798544";"P";"69";"274.180389404297";"7530858";"7531836";"PL";"30";"3337498";"52.40692";"PPLA";"EU";"3064";"306401";"86";"16.92993";"3088171";"Poznań";"570352";"";"";"Poznań";"بوزنان";"ar";"TRUE";"Poznań";"Poznan";"city, village,...";"Poland";"seat of a first-order administrative division";"Greater Poland";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Prague";"1";"Europe/Prague";"2";"14.706858002388";"49.9419772713645";"50.1775029135279";"14.2245093448725";"10";"Prague";"202";"3077311";"P";"202";"266.957885742188";NA;NA;"CZ";"10";"3067695";"50.08804";"PPLC";"EU";NA;NA;"52";"14.42076";"3067696";"Prague";"1165581";"";"";"";"ፕራግ";"am";"TRUE";"";"Prague";"city, village,...";"Czechia";"capital of a political entity";"Hlavní město Praha";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Preston";"0";"Europe/London";"1";"-2.62984622888415";"53.7372261771607";"53.8007779682916";"-2.77700811873019";"10";"Preston";"25";"2635167";"P";"34";"118.989936828613";"2644974";"7290581";"GB";"ENG";"6269131";"53.76282";"PPLA2";"EU";"H2";"30UK";"ENG";"-2.70452";"2639912";"Preston";"313332";"";"";"Preston District";"برستون";"ar";NA;"Lancashire";"Preston";"city, village,...";"United Kingdom";"seat of a second-order administrative division";"England";"LAN";NA;NA;NA;NA;NA;NA;NA;NA
"Pyli";"2";"Europe/Athens";"3";"27.1672643808509";"36.8383625299803";"36.8510814700197";"27.1513696191491";"2";"Pyli";"74";"390903";"P";"76";"75.3283767700195";"263021";"8133957";"GR";"L";"6697808";"36.84472";"PPL";"EU";"47";"9284";"ESYE42";"27.15932";"255301";"Pylí";"2430";"";"";"Kos";"Πυλίον";"el";"TRUE";"Dodecanese";"Pylí";"city, village,...";"Greece";"populated place";"South Aegean";"81";NA;NA;NA;NA;NA;NA;NA;NA
"Radlin";"1";"Europe/Warsaw";"2";"18.5024698348202";"50.0333694289274";"50.0670205812122";"18.4500448136174";"2";"Radlin";"287";"798544";"P";"287";"68.8969879150391";"7530854";"7531104";"PL";"24";"3337497";"50.0502";"PPLA3";"EU";"2415";"241502";"83";"18.47626";"3087529";"Radlin";"17479";"";"";"Radlin";"https://en.wikipedia.org/wiki/Radlin";"link";NA;"Wodzisław County";"Radlin";"city, village,...";"Poland";"seat of a third-order administrative division";"Silesia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ravenna";"1";"Europe/Rome";"2";"12.2341805149977";"44.384229991971";"44.4405694837559";"12.1668529117374";"10";"Ravenna";"10";"3175395";"P";"9";"145.239868164062";"3169560";"6540121";"IT";"45";"3177401";"44.41344";"PPLA2";"EU";"RA";"039014";"05";"12.20121";"3169561";"Ravenna";"80868";"";"";"Ravenna";"Равена";"bg";NA;"Provincia di Ravenna";"Ravenna";"city, village,...";"Italy";"seat of a second-order administrative division";"Emilia-Romagna";"RA";"4";NA;NA;NA;NA;NA;NA;NA
"Regensburg";"1";"Europe/Berlin";"2";"12.1887481277747";"48.9721458805976";"49.0355334415303";"12.031620202479";"10";"Regensburg";"349";"2921044";"P";"341";"163.492141723633";"2859444";"3220857";"DE";"BY";"2951839";"49.01513";"PPLA2";"EU";"093";"09362";"02";"12.10161";"2849483";"Regensburg";"129151";"";"Regensburg";"Regensburg";"Regensburg";"af";NA;"Upper Palatinate";"Regensburg";"city, village,...";"Germany";"seat of a second-order administrative division";"Bavaria";NA;NA;"6556611";"09362000";NA;NA;NA;NA;NA
"Reggio di Calabria";"1";"Europe/Rome";"2";"15.7133168665979";"37.9913834897104";"38.2043613936059";"15.6300617063281";"10";"Reggio Calabria";"109";"3175395";"P";"110";"142.594589233398";"2523629";"6542287";"IT";"78";"2525468";"38.11047";"PPLA2";"EU";"RC";"080063";"03";"15.66129";"2523630";"Reggio Calabria";"169140";"";"";"Reggio Calabria";"ريدجو كالابريا";"ar";"TRUE";"Provincia di Reggio Calabria";"Reggio Calabria";"city, village,...";"Italy";"seat of a second-order administrative division";"Calabria";"RC";"31";NA;NA;NA;"TRUE";NA;NA;NA
"Reggio Emilia";"1";"Europe/Rome";"2";"10.7245474973189";"44.6495531963233";"44.7550654417897";"10.5377528299063";"10";"Reggio nell'Emilia";"78";"3175395";"P";"69";"109.207221984863";"3169524";"6542002";"IT";"45";"3177401";"44.69825";"PPLA2";"EU";"RE";"035033";"05";"10.63125";"3169522";"Reggio nell'Emilia";"133296";"";"";"Reggio nell'Emilia";"Reggio Emilia";"en";"TRUE";"Provincia di Reggio Emilia";"Reggio Emilia";"city, village,...";"Italy";"seat of a second-order administrative division";"Emilia-Romagna";"RE";"58";NA;NA;NA;"TRUE";NA;NA;NA
