"Network_Name";"Code_Network";"Ncities";"KPOP1";"KPOP2";"KPOP3";"KPOP4";"Ncountry";"primacy_index";"cvPop";"bb_areaKM2";"X_mean";"Y_mean";"X_med";"Y_med";"meanDist";"medDist";"cvDist";"ch_areaKM2";"ch_r_areaKM2"
"HYER";"07023";15;7;27;13;53;9;1,97;1,46;3966569;3953303,80226953;3198672,23491027;4090284,70188223;3326363,91156814;266779;256105;0,75;2263131;1504
"IAEC";"09839";474;57;23;9;12;35;1,23;3,9;251327415;2983971,74463319;2342029,96371472;3409787,00437371;2200357,86388717;79388;15593;3,77;163379298;12782
"IAMPC";"02194";112;25;10;8;57;56;1,06;1,8;309972487;4270949,39210056;3397153,32769687;4642853,43916002;2816556,06444944;426525;175060;1,43;227653247;15088
"ICLEI";"13963";149;27;25;19;34;36;1;1,57;24991214;4481409,48764832;2986792,24548978;4344848,54163538;3060485,56153989;126114;84398;1,54;19298913;4393
"ICP";"10509";123;33;14;10;44;41;1,09;2,09;234412889;3000461,04438817;1475211,71772731;3936622,11692909;657656,309029291;294641;152019;1,38;183434131;13544
"KIMO";"13705";80;84;8;5;6;8;1,24;2,29;2130436;4087360,67829492;3579142,84715319;4114141,00892706;3507369,86700572;38423;19620;1,6;1090184;1044
"LHC";"13900";49;6;14;24;55;31;1,21;1,06;12147904;4779769,89189316;2800356,81892224;4779325,27420821;2793887,58436372;279474;233203;0,78;8956857;2993
"LIKE";"01963";56;16;39;23;36;20;1,14;1,3;11795459;4145259,36255341;2689593,44654521;3960653,86094577;2788921,18231985;114153;50641;1,52;7236583;2690
"LUCI";"13935";67;13;18;10;58;40;2,02;2,28;216422325;5574893,74566935;3441075,78657359;4521833,05270834;3146339,15414261;481758;215838;1,75;139113791;11795
"MCE";"13996";45;13;20;33;53;18;1;1,32;10154869;4511863,1249867;2581319,64503935;4498995,57408426;2536212,97276432;92797;52865;1,53;5507152;2347
"MedCities";"14044";42;26;21;10;45;16;1,52;1,5;5545462;4982012,52396119;1582459,82630889;4568991,9567847;1495943,70782568;132973;57731;1,25;3758747;1939
"METREX";"14360";38;3;3;11;95;18;3,03;1,54;8155546;4474291,75449672;2942755,92713493;4429523,82368144;2963075,75836137;211136;230483;0,85;5896891;2428
"Metropolis";"17692";16;0;0;0;106;13;3,03;1,26;10012204;4465572,3100191;2673853,8570443;4224682,11199071;2572489,92831717;370858;297880;0,59;5690635;2386
"NCN";"W6";15;27;67;0;7;4;2,05;0,75;660251;4517130,02170976;3947032,4922491;4531813,94052719;3901185,4358211;99865;82889;1,08;399979;632
"OWHC";"15051";293;38;21;12;30;97;1,2;2,76;376283010;4335161,62967239;2922966,49158563;4479571,5172283;2573637,70037266;238872;108784;1,8;241447292;15539
"POLIS";"15491";59;7;24;20;59;16;1;1,67;11332348;4062649,34176846;2970911,30136203;3932568,73601629;3100513,3654369;113531;86376;1,14;6535985;2557
"RECEVIN";"15872";106;91;8;1;1;11;1,64;1,66;7614021;3885371,0441824;2119026,53258669;3922445,26052219;2189240,70295947;56950;19553;2,43;4188229;2047
"REVES";"15871";51;33;20;22;49;17;1,48;1,39;11165884;4399582,6996465;2837585,59502026;4368763,31475112;2562184,87183568;118211;46041;1,34;6952519;2637
"UBC";"17030";86;50;30;10;9;10;6,77;3,52;1904871;4887007,24007387;3894625,9156627;4930079,36653888;3868550,55681117;61170;56112;0,71;1229161;1109
"UCSEEC";"17038";17;0;6;12;82;17;1,49;0,76;3840200;5371338,29358582;2455664,31655043;5178276,81027904;2433803,43343228;305058;172204;1,06;2409028;1552
"UCUE";"17035";28;7;4;7;82;28;2,21;1,16;10430940;4607785,66962862;2896845,44636757;4661821,19493697;2940426,87926878;308864;272288;0,65;6514060;2552
"WHO";"F3238";85;20;22;15;42;32;2,01;1,52;27523521;4944967,89100053;3015687,42988662;4811492,5624388;2918824,96575857;185562;111150;1,35;15708141;3963
"WWCAM";"18332";21;24;10;10;57;10;1,06;1,5;60236577;7380087,69166184;7994837,41391097;9060575,68394292;8465697,2307506;734632;453241;1,03;38133937;6175
