Programme;Acronym;Project Partner;Lead Partner;Street;Postal code;Town;Country;Website;Department;Legal Status;Country code;NUTS1 (or equivalent);NUTS2 (or equivalent);NUTS3 (or equivalent)
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NUTRINFLOW;Zemgale Planning region;No;Katolu;LV-3001;Jelgava;Latvia;centralbaltic.eu/projects;n/a;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV009  / Zemgale
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NUTRINFLOW;Jelgava Local Municipality;No;Pasta street;LV 3001;Jelgava;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV009  / Zemgale
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NUTRINFLOW;City of Loviisa;No;;19;Loviisa;Finland;centralbaltic.eu/projects;Environment protection;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NUTRINFLOW;JTI-Swedish Institute for Agricultural and Environmental Engineering;No;Ultunaallén;SE-75005;Uppsala;Sweden;centralbaltic.eu/projects;;private;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE12  / Östra Mellansverige;SE121  / Uppsala län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NUTRINFLOW;Nylands Svenska Lantbrukssällskap;No;Liisankatu;170;Helsinki;Finland;centralbaltic.eu/projects;;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Limbaži Municipality;No;Rigas iela;LV-4001;Limbazi;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV007  / Pierīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Kuldiga Municipality;No;Baznicas iela;LV-3301;Kuldiga;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV003  / Kurzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Koknese Local Municipality;No;Melioratoru str;LV-5113;Koknese;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV009  / Zemgale
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Pargauja Municipality;No;Stalbes pagasts;LV-4151;Pargaujas novads;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Valmiera City Council;No;Lacplesa;LV-4201;Valmiera;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Vidzeme planning region;No;Jāņa Poruka iela;LV4101;Cesis;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Cesis Culture and Tourism Center, CCTC;No;Baznicas Sq;LV-4100;Cesis;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Region Gotland;No;;62181;Visby;Sweden;centralbaltic.eu/projects;;public;SE Sweden / SVERIGE;SE2  / SÖDRA SVERIGE;SE21  / Småland med öarna;SE214  / Gotlands län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Viljandi Town Government;No;Linnu;71020;Viljandi;Estonia;centralbaltic.eu/projects;;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE008  / Lõuna-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);HANSA;Pärnu City Government;No;Suur-Sepa;80098;Pärnu;Estonia;centralbaltic.eu/projects;Department of Planning;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE004  / Lääne-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;Nordregio;No;Box 1658;SE-11186;Stockholm;Sweden;centralbaltic.eu/projects;-;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;Tallinn Urban Planning department;No;Vabaduse väljak;15198;Tallinn;Estonia;centralbaltic.eu/projects;-;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;University of Turku;No;Yliopistonmäki;FI-20014;Turku;Finland;centralbaltic.eu/projects;Brahea Centre at the University of Turku;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;City of Turku;No;Puutarhakatu;FIN-20100;Turku;Finland;centralbaltic.eu/projects;City of Turku Property Management Division;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;Municipality of Norrköping;No;Trädgårdsgatan;SE-60181;Norrköping;Sweden;centralbaltic.eu/projects;Department of urban planning;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE12  / Östra Mellansverige;SE123  / Östergötlands län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Baltic Urban Lab;Riga City Council City Development Department;No;Amatu iela;LV-1050;Rīga;Latvia;centralbaltic.eu/projects;City Development Department;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Springboard;University of Turku;No;Yliopistonmäki;20014;Turku;Finland;centralbaltic.eu/projects;Brahea Centre;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Springboard;Tallinn Science Park Tehnopol;No;Teaduspargi;12618;Tallinn;Estonia;centralbaltic.eu/projects;-;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Springboard;LATVIA TECHNOLOGY PARK;No;Pulka iela;1007;Riga;Latvia;centralbaltic.eu/projects;-;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Springboard;Riga Technical University;No;Kalku;1658;Riga;Latvia;centralbaltic.eu/projects;Project Management Department;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Springboard;Tallinn University of Technology;No;Ehitajate tee;19086;Tallinn;Estonia;centralbaltic.eu/projects;Department of Business Administration;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);ICT Meta Cluster;Acreo;No;Håstaholmen;82442;Hudiksvall;Sweden;centralbaltic.eu/projects;Netlab;public;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE31  / Norra Mellansverige;SE313  / Gävleborgs län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);ICT Meta Cluster;Estonia ICT Cluster;No;Lõõtsa;11415;Tallinn;Estonia;centralbaltic.eu/projects;N/A;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);ICT Meta Cluster;Latvian IT Cluster;No;Skolas Street;LV-1010;Riga;Latvia;centralbaltic.eu/projects;N/A;private;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);PIM;University of Helsinki;No;Yliopistonkatu;14;Helsinki;Finland;http://centralbaltic.eu/projects;Department of Modern Languages, Russian Language unit;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);PIM;University of Latvia;No;Raina Blvd;1586;Riga;Latvia;http://centralbaltic.eu/projects;Faculty of Education, Psychology and Art;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);EDU-SMEs;Valmiera Business and Innovation Incubator;No;Purva;LV-4201;Valmiera;Latvia;http://centralbaltic.eu/;;private;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);EDU-SMEs;Vidzeme University of Applied Sciences;No;Cēsu iela;LV4200;Valmiera;Latvia;http://centralbaltic.eu/;Faculty of Social and Science;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);EDU-SMEs;Estonian Entrepreneurshp UAS (Erahariduskeskus Ltd);No;Suur-Sõjamäe;10145;Tallinn;Estonia;http://centralbaltic.eu/;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);EDU-SMEs;TTK University of Applied Sciences;No;Pärnu mnt;10135;Tallinn;Estonia;http://centralbaltic.eu/;;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SIPPE;The Association for Vicinity Services  in Turku;No;Luolavuorentie;20810;Turku;Finland;http://sippe.turkuamk.fi/;;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SIPPE;The Self-Help and Advisory Association for Senior Citizens;No;Jaan Poska;10126;Tallinn;Estonia;http://sippe.turkuamk.fi/;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SIPPE;Tallinn Health Care College;No;Kännu;13418;Tallinn;Estonia;http://sippe.turkuamk.fi/;;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);REGI;Tallinn University Rakvere College;No;Pikk;44307;Rakvere;Estonia;https://regiproject.weebly.com/;-;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE006  / Kesk-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);REGI;Baltic Region Healthy Cities Association;No;Vanha Suurtori;20500;Turku;Finland;https://regiproject.weebly.com/;WHO Collaboration Centre for Healthy Cities and Urban Health in the Baltic region;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);REGI;South-West Finland's Estonian Center;No;Vanha Suurtori;20500;Turku;Finland;https://regiproject.weebly.com/;-;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);MobiCarnet;SKAL Kustannus Oy;No;Nuijamiestentie;FI-00400;Helsinki;Finland;http://centralbaltic.eu/;N/A;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);CB2East;Green Net Finland;No;Elannontie 3;1510;Vantaa;Finland;centralbaltic.eu/projects;;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);CB2East;Latvian Biotechnology association;No;Dzērbenes;LV - 1006;Rīga;Latvia;centralbaltic.eu/projects;CLEANTECH LATVIA;private;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NATTOURS;City of Helsinki;No;Viikinkaari P.O. Box 500;99;Helsinki;Finland;centralbaltic.eu/projects;Environment Centre, Public Works Department, Education Department, Helsinki Marketing Ltd/Visit Helsinki, Sports Department;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);NATTOURS;Stockholm Environment Institute Tallinn centre;No;Lai;10133;Tallinn;Estonia;centralbaltic.eu/projects;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SmartZoos;Skansen Open-air museum and Zoo;No;Skansen Foundation;11593;Stockholm;Sweden;centralbaltic.eu/projects;Department of Zoology;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SmartZoos;Helsinki Zoo;No;PO Box;99;City of Helsinki;Finland;centralbaltic.eu/projects;Marketing, customer service and environmental education;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SmartZoos;Tallinn Zoological Gardens;No;Ehitajate tee;13517;Tallinn;Estonia;centralbaltic.eu/projects;Environmental Education and Public Relations;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SmartZoos;Södertörn University;No;Alfred Nobels allé;141 89;Huddinge;Sweden;centralbaltic.eu/projects;School of Natural Science, Technology and Environmental Studies;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);PRIME;Creative Ideas;No;Krisjana Valdemara iela;k-5-61;Riga;Latvia;http://centralbaltic.eu/;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);CoMe Strong;UNIVERSITY OF TARTU;No;Ülikooli;50090;Tartu;Estonia;http://centralbaltic.eu/;Department of Social Work;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE008  / Lõuna-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);CoMe Strong;The Settlement House of Aurala;No;Satakunnantie;20100;Turku;Finland;http://centralbaltic.eu/;;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);MUCH MORE;Baltic Region Healthy Cities Association;No;Vanha Suurtori;20500;Turku;Finland;http://centralbaltic.eu/;N/A;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);MUCH MORE;STICKAN- Crisis centre for men;No;Södra Centralgatan;10 802 50;Gälve;Sweden;http://centralbaltic.eu/;N/A;public;SE Sweden / SVERIGE;SE3  / NORRA SVERIGE;SE31  / Norra Mellansverige;SE313  / Gävleborgs län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);MUCH MORE;Riga City Council;No;Baznīcas street;LV-1002;Riga;Latvia;http://centralbaltic.eu/;Welfare Department;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);MUCH MORE;Blue Ribbon Association;No;Vallihaudankatu;20100;Turku;Finland;http://centralbaltic.eu/;N/A;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Music Finland;No;Urho Kekkosen katu;FI-00100;Helsinki;Finland;http://centralbaltic.eu/projects;-;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Music & Media Finland;No;PO Box 104;FI-33210;Tampere;Finland;http://centralbaltic.eu/projects;-;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI19  / Länsi-Suomi;FI197  / Pirkanmaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Tallinn University;No;Narva road;EE-10120;Tallinn;Estonia;http://centralbaltic.eu/projects;Baltic Film, Media, Arts and Communication School;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Tallinn Music Week;No;Telliskivi;EE-10412;Tallinn;Estonia;http://centralbaltic.eu/projects;-;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Music Estonia;No;Telliskivi;EE-10412;Tallinn;Estonia;http://centralbaltic.eu/projects;-;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);FINEEX Music;Humak - Finnish University of Applied Sciences and Arts;No;Köydenpunojankatu;FI-20100;Turku;Finland;http://centralbaltic.eu/projects;Department of Cultural Management;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Archipelago Partnerships;Drivhuset Sweden;No;Storgatan;11455;Stockholm;Sweden;http://centralbaltic.eu/projects;Stockholm;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Archipelago Partnerships;Södertörn University;No;Alfred Nobels Allé;14189;Huddinge;Sweden;http://centralbaltic.eu/projects;Economics, tourism and media technology;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Archipelago Partnerships;Abo Akademi University;No;Domkyrkotorget;20500;Åbo;Finland;http://centralbaltic.eu/projects;School of  Business and Economics;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SimE;The Non-profit foundation for the Swedish Red Cross University College;No;Hälsovägen;SE-141 21;Huddinge;Sweden;http://centralbaltic.eu/;Department of Nursing and Care;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);SimE;Riga Medical College of the University of Latvia;No;Hipokrata Street;LV-1079;Riga;Latvia;http://centralbaltic.eu/;Nursing Department;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);DSB;Sexpo Foundation;No;Kinaporinkatu;500;Helsinki;Finland;http://centralbaltic.eu/;n/a;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BOOSTED;University of Latvia;No;Raina Blvd;1586;Riga;Latvia;http://centralbaltic.eu/projects;Faculty of Economics and Management;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BOOSTED;Vidzeme University of Applied Sciences;No;Cesu street;4201;Valmiera;Latvia;http://centralbaltic.eu/projects;Knowledge and Technology centre;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BOOSTED;Tallinn University of Technology;No;Tallinna;93811;Kuressaare;Estonia;http://centralbaltic.eu/projects;Kuressaare College;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE004  / Lääne-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Active Age;Ape municipality council;No;Stacijas street;LV-4337;Ape;Latvia;centralbaltic.eu/projects;Not relevant;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV008  / Vidzeme
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Active Age;Engure municipality;No;Jauna street;LV-3129;Smārde, Engures novads;Latvia;centralbaltic.eu/projects;Not relevant;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV007  / Pierīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;Tallinn City Government;No;Harju;10130;Tallinn;Estonia;http://centralbaltic.eu/;Environment Department;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;Estonian Institute For Sustainable Development/Stockholm Environment Institute Tallinn Centre;No;Lai;10133;Tallinn;Estonia;http://centralbaltic.eu/;;private;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE001  / Põhja-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;City of Turku;No;Puolalankatu;20101;Turku;Finland;http://centralbaltic.eu/;Environmental division;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;Keep the Archipelago Tidy;No;Puolalankatu;20100;Turku;Finland;http://centralbaltic.eu/;;private;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1C  / Etelä-Suomi;FI1C1  / Varsinais-Suomi
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;Foundation for Environmental Education Latvia;No;11 novembra krastmala;LV 1050;Riga;Latvia;http://centralbaltic.eu/;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;IVL Swedish Environmental Research Institute;No;Valhallavägen;11427;Stockholm;Sweden;http://centralbaltic.eu/;;private;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE11  / Stockholm;SE110  / Stockholms län
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);BLASTIC;Finnish Environment Institute;No;Mechelininkatu;251;Helsinki;Finland;http://centralbaltic.eu/;Merikeskus/Marine Center;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Live Baltic Campus;City of Helsinki;No;Unioninkatu 28 A;99;Helsingin kaupunki;Finland;centralbaltic.eu/projects;City Executive Office, Economic Development;public;FI Finland / SUOMI / FINLAND;FI1  / MANNER-SUOMI;FI1B  / Helsinki-Uusimaa;FI1B1  / Helsinki-Uusimaa
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Live Baltic Campus;Riga Planning Region;No;Z.A.Meierovica blvd.;LV 1050;Riga;Latvia;centralbaltic.eu/projects;;public;LV Latvia / LATVIJA;LV0  / LATVIJA;LV00  / Latvija;LV006  / Rīga
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Live Baltic Campus;UNIVERSITY OF TARTU;No;Ülikooli;50090;Tartu;Estonia;centralbaltic.eu/projects;Department of Geography;public;EE Estonia / EESTI;EE0  / EESTI;EE00  / Eesti;EE008  / Lõuna-Eesti
2014 - 2020 INTERREG V-A Finland - Estonia - Latvia - Sweden (Central Baltic);Live Baltic Campus;Uppsala University;No;Box;75105;Uppsala;Sweden;centralbaltic.eu/projects;;public;SE Sweden / SVERIGE;SE1  / ÖSTRA SVERIGE;SE12  / Östra Mellansverige;SE121  / Uppsala län
