"NUTS_ID";"STAT_LEVL_";"SHAPE_AREA";"SHAPE_LEN";"TYPE";"n";"HTYPO";"TYPO"
"FR22";2;2,42775789245;12,1742864756;"Transition regions";164;FALSE;4
"FR24";2;4,71806144223;14,9971590399;"More developed regions";35;FALSE;2
"IE02";2;4,85641499728;37,9427740282;"More developed regions";484;FALSE;2
"IS00";2;19,5162073382;81,8710125272;"NULL";104;FALSE;3
"ITC1";2;2,90198333258;13,2579409041;"More developed regions";959;FALSE;2
"ITC2";2;0,37689432862;3,45706616353;"More developed regions";262;FALSE;2
"ITC4";2;2,75447180752;15,1940571422;"More developed regions";714;FALSE;2
"ITC3";2;0,61119636299;8,58488127399;"More developed regions";477;FALSE;2
"ITF1";2;1,17773941689;6,45664615364;"Transition regions";115;FALSE;4
"ITF3";2;1,45278677821;9,08048575131;"Less developed regions";131;FALSE;1
"ITF2";2;0,48020332827;4,55175674199;"Transition regions";42;FALSE;4
"IE01";2;4,54640001223;45,36138797;"More developed regions";319;FALSE;2
"HU10";2;0,82425925641;5,94301945102;"More developed regions";561;FALSE;2
"HU33";2;2,15268326678;11,2976724277;"Less developed regions";666;FALSE;1
"HU22";2;1,34395134442;10,125006561;"Less developed regions";554;FALSE;1
"HU21";2;1,31654764667;8,10363145551;"Less developed regions";117;FALSE;1
"HU31";2;1,61981797103;10,2033646997;"Less developed regions";216;FALSE;1
"HU23";2;1,65876756881;8,14238437928;"Less developed regions";353;FALSE;1
"HU32";2;2,11911894503;12,2672384358;"Less developed regions";588;FALSE;1
"FRA4";2;0,21763640046;1,92519169611;"NULL";15;FALSE;3
"FRA5";2;0,02968569288;1,72464385581;"NULL";0;FALSE;3
"FRA3";2;6,8200292216;13,9734340834;"NULL";34;FALSE;3
"HR03";2;2,79082181499;53,1913689294;"Less developed regions";338;FALSE;1
"HR04";2;3,67345519204;17,8064569516;"Less developed regions";806;FALSE;1
"MK00";2;2,74718036997;8,5602566285;"NULL";235;FALSE;3
"NL21";2;0,45206656822;4,77580052975;"More developed regions";290;FALSE;2
"NL42";2;0,28451904877;5,01946219294;"More developed regions";408;FALSE;2
"NL22";2;0,67333693402;6,44457647852;"More developed regions";409;FALSE;2
"NL23";2;0,31945351262;2,93972335918;"More developed regions";29;FALSE;2
"MT00";2;0,03159537859;1,6400147265;"NULL";212;FALSE;3
"NL32";2;0,45162823924;4,92275264643;"More developed regions";121;FALSE;2
"ME00";2;1,52694697447;8,97504732056;"NULL";126;FALSE;3
"NL33";2;0,42295934795;4,6255338918;"More developed regions";314;FALSE;2
"NL34";2;0,25069023083;7,04984165261;"More developed regions";283;FALSE;2
"NL11";2;0,32318346416;3,97094526278;"More developed regions";158;FALSE;2
"NL12";2;0,53600018481;6,47590032887;"More developed regions";77;FALSE;2
"NL13";2;0,35758369826;3,16218097925;"More developed regions";82;FALSE;2
"NL41";2;0,65884197717;5,6928063103;"More developed regions";293;FALSE;2
"ITI3";2;1,04180160295;6,56758267216;"More developed regions";187;FALSE;2
"ITI4";2;1,86965814197;10,9253958582;"More developed regions";383;FALSE;2
"ITI2";2;0,93259297106;6,47587462048;"More developed regions";87;FALSE;2
"LT00";2;9,18730689319;20,4987521484;"Less developed regions";1469;FALSE;1
"LI00";2;0,01892671296;0,76021658637;"NULL";67;FALSE;3
"LU00";2;0,32393183645;3,5824752259;"More developed regions";294;FALSE;2
"LV00";2;9,50827731249;22,1996861488;"Less developed regions";1497;FALSE;1
"ITG2";2;2,54669200375;13,1767712389;"Transition regions";447;FALSE;4
"ITH3";2;2,04926945453;14,8397586754;"More developed regions";724;FALSE;2
"ITF4";2;2,07130893624;12,0092766604;"Less developed regions";590;FALSE;1
"ITG1";2;2,62416753692;13,0623708668;"Less developed regions";448;FALSE;1
"ITH4";2;0,89803431365;8,05117720385;"More developed regions";837;FALSE;2
"ITF5";2;1,06115017992;6,28354983495;"Less developed regions";91;FALSE;1
"ITI1";2;2,55669056254;13,5177716277;"More developed regions";564;FALSE;2
"ITH1";2;0,86947920014;7,0052018202;"More developed regions";283;FALSE;2
"ITH5";2;2,54153680813;12,6915204384;"More developed regions";549;FALSE;2
"ITF6";2;1,57012153358;8,39554495058;"Less developed regions";92;FALSE;1
"ITH2";2;0,72277923439;6,50571402756;"More developed regions";79;FALSE;2
"PL11";2;2,36351525657;10,5575745976;"Less developed regions";44;FALSE;1
"PL12";2;4,68989607325;17,9425718074;"More developed regions";245;FALSE;2
"PL21";2;1,89819322197;9,82931309841;"Less developed regions";193;FALSE;1
"NO06";2;7,47026006777;82,4437743058;"NULL";173;FALSE;3
"NO07";2;25,0649832812;333,098651893;"NULL";334;FALSE;3
"NO03";2;5,8526086791;30,3971226833;"NULL";161;FALSE;3
"NO04";2;4,00984995979;44,1303531342;"NULL";93;FALSE;3
"NO05";2;8,25430995282;156,181040633;"NULL";78;FALSE;3
"NO01";2;0,86412309262;7,85043917962;"NULL";148;FALSE;3
"NO02";2;8,84225247514;18,5845399347;"NULL";98;FALSE;3
"RO41";2;3,31115125414;12,0328120334;"Less developed regions";177;FALSE;1
"RO42";2;3,70070329076;12,3759650529;"Less developed regions";307;FALSE;1
"RO21";2;4,36643672725;14,4556160948;"Less developed regions";242;FALSE;1
