;Programme;Acronym;Project.Partner;Lead.Partner;Street;Postal.code;Town;Country;Website;Department;Legal.Status;Country.Code;NUTS1;NUTS2;NUTS3;Location;lon;lat
65;2007 - 2013 Interreg IVC;CivPro;Evros Prefecture;No;KARAOLI & DIMITRIOY 40;68100;ALEXANDROYPOLIS;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL51  / A<U+03BD>at<U+03BF><U+03BB><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a, T<U+03C1><U+03AC><U+03BA><U+03B7> (Anatoliki Makedonia, Thraki),;EL511  / <U+0388>ß<U+03C1><U+03BF><U+03C2> (Evros);karaoli & dimitrioy 40, 68100 alexandroypolis, greece;40.850553;25.875483
66;2007 - 2013 Interreg IVC;DLA;Regional Development Agency of North Hungary Non-profit Corporation (NORDA);No;Széchenyi u. 107.;3525;Miskolc;Hungary;http://www.interreg4c.eu/;NA;NA;HU Hungary / MAGYARORSZÁG;HU3  / ALFÖLD ÉS ÉSZAK;HU31  / Észak-Magyarország;HU311  / Borsod-Abaúj-Zemplén;széchenyi u. 107., 3525 miskolc, hungary;48.106487;20.796365
67;2007 - 2013 Interreg IVC;eCitizen II;Patras Municipal Enterprise for Planning and Development S.A.;No;El. Venizelou 38 & Solomou;26333;Patras;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL63  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da (Dytiki Ellada);EL632  / <U+0391><U+03C7>a<U+0390>a (Achaia);el. venizelou 38 & solomou, 26333 patras, greece;38.237639;21.736168
68;2007 - 2013 Interreg IVC;EnercitEE;Haute-Savoie local authorities;No;Direction de l'Aménagement, de l'Environnement et du Développement RuralConseil général de la Haute-Savoie1 avenue d’Albigny BP2444;74 041;ANNECY ;France;http://www.interreg4c.eu/;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR71  / Rhône-Alpes;FR718  / Haute-Savoie;direction de l'aménagement, de l'environnement et du développement ruralconseil général de la haute-savoie1 avenue d’albigny bp2444, 74 041 annecy cedex, france;45.906143;6.125034
69;2007 - 2013 Interreg IVC;IES;Ilfov County Council;No;18 Street Gh. Manu, sector 1, Bucharest;10446;Bucharest;Romania;http://www.interreg4c.eu/;NA;NA;RO Romania / ROMÂNIA;RO3  / MACROREGIUNEA TREI;RO32  / Bucuresti - Ilfov;RO321  / Bucuresti;18 street gh. manu, sector 1, bucharest, 10446 bucharest, romania;44.435842;26.085733
70;2007 - 2013 Interreg IVC;MMOVE;Volos Municipal Enterprise for Urban Studies, Construction and Development (DEMEKAV);No;LACHANA 5 & LIMNOU STREET;38334;VOLOS;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL61  / Tessa<U+03BB><U+03AF>a (Thessalia);EL613  / <U+039C>a<U+03B3><U+03BD><U+03B7>s<U+03AF>a, Sp<U+03BF><U+03C1><U+03AC>de<U+03C2> (Magnisia, Sporades),;lachana 5 & limnou street, 38334 volos, greece;39.368361;22.946424
71;2007 - 2013 Interreg IVC;PIMMS CAPITAL;Veneto Region - Community Programme Department;No;Fond.ta S. Lucia – Cannaregio 23;30121;Venice;Italy;http://www.interreg4c.eu/;NA;NA;IT Italy / ITALIA;ITH  / NORD-EST;ITH3  / Veneto;ITH35  / Venezia;fond.ta s. lucia – cannaregio 23, 30121 venice, italy;45.581192;12.561157
72;2007 - 2013 Interreg IVC;PIMMS CAPITAL;Patras Municipal Enterprise for Planning & Development S.A.;No;El. Venizelou 38 & Solomou;26333;Patras;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL63  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da (Dytiki Ellada);EL632  / <U+0391><U+03C7>a<U+0390>a (Achaia);el. venizelou 38 & solomou, 26333 patras, greece;38.237639;21.736168
73;2007 - 2013 Interreg IVC;PLUS;Municipal Enterprise for Planning and Development of Patras S.A. (ADEP S.A.);No;El. Venizelou 38 & Solomou;26333;Patras;Greece;http://www.interreg4c.eu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL63  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da (Dytiki Ellada);EL632  / <U+0391><U+03C7>a<U+0390>a (Achaia);el. venizelou 38 & solomou, 26333 patras, greece;38.237639;21.736168
74;2007 - 2013 Interreg IVC;Pre-waste;Public Cooperation Department of Ilfov County;No;18 Street Gh. Manu, sector 1, Bucharest;10446;Bucharest;Romania;http://www.interreg4c.eu/;NA;NA;RO Romania / ROMÂNIA;RO3  / MACROREGIUNEA TREI;RO32  / Bucuresti - Ilfov;RO321  / Bucuresti;18 street gh. manu, sector 1, bucharest, 10446 bucharest, romania;44.435842;26.085733
75;2007 - 2013 North Sea Region;ACCSEAS;Norwegian Coastal Administration;No;Postboks 1502;N-6025;NA;Norway;http://www.northsearegion.eu/ivb/projects/;NA;NA;NO Norway / NORGE;NO0  / NORGE;NO03  / Sør-Østlandet;NO032  / Buskerud;postboks 1502, n-6025 na, norway;61.356908;9.680372
76;2007 - 2013 South East Europe;CLEAR;Municipal enterprise for planning & development S.A;No;EL.VENIZELOU & SOLOMOU STR 38;26333;Patras;Greece;http://www.southeast-europe.net/hu/;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL63  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da (Dytiki Ellada);EL632  / <U+0391><U+03C7>a<U+0390>a (Achaia);el.venizelou & solomou str 38, 26333 patras, greece;38.237639;21.736168
77;2007 - 2013 South East Europe;SUSTCULT;Municipality of Berat;No;Bulevardi Republika N/A;5001-5006;Berat;Albania;http://www.sustcult.eu;NA;NA;AL  / Albania;NA;NA;NA;bulevardi republika n/a, 5001-5006 berat, albania;40.63967;20.091828
78;2007 - 2013 South East Europe;CC-WARE;Decentralised Administration of Macedonia and Thrace, Water Directorate of Central Macedonia;No;11 Rossidi & Economidi Str.;54008;Thessaloniki;Greece;http://www.ccware.eu;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL52  / <U+039A>e<U+03BD>t<U+03C1><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a (Kentriki Makedonia);EL522  / Tessa<U+03BB><U+03BF><U+03BD><U+03AF><U+03BA><U+03B7> (Thessaloniki);11 rossidi & economidi str., 54008 thessaloniki, greece;40.656485;22.937343
79;2007 - 2013 South East Europe;JEWEL Model;Patras Municipal Enterprise for Planning and Development;No;38 El. Benizelou & Solomou Str,;26333;Patras;Greece;http://www.jewelmodel.eu;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL6  / <U+039A><U+0395><U+039D><U+03A4><U+03A1><U+0399><U+039A><U+0397> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (KENTRIKI ELLADA);EL63  / <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da (Dytiki Ellada);EL632  / <U+0391><U+03C7>a<U+0390>a (Achaia);38 el. benizelou & solomou str,, 26333 patras, greece;38.237639;21.736168
80;2007 - 2013 South East Europe;JEWEL Model;EQREM ÇABEJ UNIVERSITY OF GJIROKASTRA;No;"""18 Lagja """"18 shtatori"""", Rruga Studenti""";6001;GJIROKASTRA;Albania;http://www.jewelmodel.eu;NA;NA;AL  / Albania;NA;NA;NA;"""18 lagja """"18 shtatori"""", rruga studenti"", 6001 gjirokastra, albania";40.076648;20.143604
81;2007 - 2013 South East Europe;SIVA;Youth Entrepreneurial Service Foundation;No;bb Arhimedova;1001;Skopje;Former Yugoslav Republic Of Macedonia;http://www.southeast-europe.net/hu/;NA;NA;MK the former Yugoslav Republic of Macedonia (FYROM) / PORANEŠNA JUGOSLOVENSKA REPUBLIKA MAKEDONIJA;MK0  / PORANEŠNA JUGOSLOVENSKA REPUBLIKA MAKEDONIJA;MK00  / Poranešna jugoslovenska Republika Makedonija;MK008  / Skopski;bb arhimedova, 1001 skopje, former yugoslav republic of macedonia;42;21.41667
82;2007 - 2013 South East Europe;STATUS;Municipality of Drama;No;0 Bermiou 2 & 1st Iouliou;66100;Drama;Greece;http://www.seecityplatform.net;NA;NA;EL Greece / <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (ELLADA);EL5  / <U+0392><U+039F><U+03A1><U+0395><U+0399><U+0391> <U+0395><U+039B><U+039B><U+0391><U+0394><U+0391> (VOREIA ELLADA);EL51  / A<U+03BD>at<U+03BF><U+03BB><U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a, T<U+03C1><U+03AC><U+03BA><U+03B7> (Anatoliki Makedonia, Thraki),;EL514  / <U+0394><U+03C1><U+03AC>µa (Drama);0 bermiou 2 & 1st iouliou, 66100 drama, greece;41.150452;24.152498
83;2007 - 2013 South West Europe;ECOARQ;UCCIMAC;No;Parc Technologique La Pardieu 2, Avenue Léonard de Vinci;63063;Clermont-Ferrand;France;http://4.interreg-sudoe.eu/ESP/f/138/Los-Proyectos-SUDOE/Los-proyectos-aprobados;NA;NA;FR France / FRANCE;FR7  / CENTRE-EST;FR72  / Auvergne;FR724  / Puy-de-Dôme;parc technologique la pardieu 2, avenue léonard de vinci, 63063 clermont-ferrand, cedex 1, france;45.784832;3.114432
