"";"lon";"lat";"type";"loctype";"address";"north";"south";"east";"west";"Location"
"3693";18,7203882;49,6365704;"locality";"approximate";"739 95 bystrice, czechia";49,6562097;49,612517;18,7822107;18,7005486;", 73995 bystrice, czech republic"
"3694";17,383904;50,31633;"street_address";"rooftop";"rynek 15, 48-340 glucholazy, poland";50,3176789802915;50,3149810197085;17,3852529802915;17,3825550197085;"rynek 15, 48-340 glucholazy, poland"
"3695";16,5718966;49,1961618;"route";"geometric_center";"hroznová, 603 00 brno-stred, czechia";49,1980535;49,1935401;16,5732112;16,568597;"hroznová, 60300 brno, czech republic"
"3696";16,0927512;50,4762559;"route";"geometric_center";"nám. t. g. masaryka, 549 41 cervený kostelec, czechia";50,4776461802915;50,4749482197085;16,0941671802915;16,0914692197085;"námestí t. g. masaryka, 54941 cervený kostelec, czech republic"
"3697";16,9468983;50,1617931;"route";"geometric_center";"nám. osvobození, 788 32 staré mesto, czechia";50,1633213302915;50,1606233697085;16,9482238802915;16,9455259197085;"nám. osvobození, 78832 staré mesto, czech republic"
"3698";16,650883;50,4382669;"street_address";"rooftop";"lukasiewicza 4a, 57-300 klodzko, poland";50,4396158802915;50,4369179197085;16,6522319802915;16,6495340197085;"lukasiewicza 4a/2, 57-300 klodzko, poland"
"3699";16,9091137;50,6751617;"street_address";"rooftop";"plac adama mickiewicza 2, 57-211 cieplowody, poland";50,6765106802915;50,6738127197085;16,9104626802915;16,9077647197085;"plac adama mickiewicza 2, 57-211 cieplowody, poland"
"3700";17,919804;50,66524;"street_address";"rooftop";"strzelców bytomskich 8, 46-020 opole, poland";50,6665889802915;50,6638910197085;17,9211529802915;17,9184550197085;"ul. strzelców bytomskich 8, 45-084 opole, poland"
"3701";15,6557504;50,6200718;"locality";"approximate";"543 41 lánov, czechia";50,6521689;50,6027211;15,6908659;15,6265279;", 54341 lánov, czech republic"
"3702";16,1499675;50,3456741;"route";"geometric_center";"nám. republiky, 549 01 nové mesto nad metují, czechia";50,3469656802915;50,3442677197085;16,1514011802915;16,1487032197085;"námestí republiky, 54901 nové mesto nad metují, czech republic"
"3703";15,7445729;50,9034659;"street_address";"rooftop";"1 maja 60, 58-500 jelenia góra, poland";50,9048148802915;50,9021169197085;15,7459218802915;15,7432239197085;"1 maja 60, 58-500 jelenia góra, poland"
"3704";18,6243729;49,7476969;"route";"geometric_center";"hlavní tr., 43-400 ceský tešín, czechia";49,7494887;49,7461447;18,6269155;18,6222858;"hlavní trída, 73701 ceský tešín, czech republic"
"3705";15,5671543;51,2636208;"street_address";"rooftop";"mickiewicza 13, 59-700 boleslawiec, poland";51,2649697802915;51,2622718197085;15,5685032802915;15,5658053197085;"mickiewicza 13, 59-700 boleslawiec, poland"
"3706";18,674282;50,291498;"subpremise";"rooftop";"akademicka 2a/44-100 m, 44-100 gliwice, poland";50,2928469802915;50,2901490197085;18,6756309802915;18,6729330197085;"akademicka 2a, 44-100 m. gliwice, poland"
"3707";15,5672009;51,2638781;"route";"geometric_center";"mickiewicza, 59-700 boleslawiec, poland";51,2651909302915;51,2624929697085;15,5685070802915;15,5658091197085;"mickiewicza, 59700 boleslawiec, poland"
"3708";17,822031;50,201195;"street_address";"rooftop";"kochanowskiego 15, 48-100 glubczyce, poland";50,2025439802915;50,1998460197085;17,8233799802915;17,8206820197085;"kochanowskiego 15, 48-100 glubczyce, poland"
"3709";15,9266096;50,6724493;"route";"geometric_center";"na štole, 542 01 žaclér, czechia";50,6739911802915;50,6712932197085;15,9282285802915;15,9255306197085;"na štole, 54201 žaclér, czech republic"
"3710";15,7343876;50,903376;"subpremise";"rooftop";"plac ratuszowy 58/58-500 m, 58-500 jelenia góra, poland";50,9047249802915;50,9020270197085;15,7357365802915;15,7330386197085;"plac ratuszowy 58, 58-500 m. jelenia góra, poland"
"3711";13,7285764;45,5474661;"street_address";"rooftop";"garibaldijeva ulica 1, 6000 koper - capodistria, slovenia";45,5488150802915;45,5461171197085;13,7299253802915;13,7272274197085;"garibaldijeva 1, si-6000 koper, slovenia"
"3712";13,5870072;46,1561348;"locality";"approximate";"33040 liessa, province of udine, italy";46,1575761802915;46,1548782197085;13,5895037;13,5843724;"fraz. liessa, 33049 grimacco (ud), italy"
"3713";13,8743764;45,7096487;"street_address";"rooftop";"partizanska cesta 4, 6210 sežana, slovenia";45,7109976802915;45,7082997197085;13,8757253802915;13,8730274197085;"partizanska cesta 4, si - 6210 sežana, slovenia"
"3714";13,7708091;45,6518371;"street_address";"rooftop";"via genova, 9, 34121 trieste ts, italy";45,6531860802915;45,6504881197085;13,7721580802915;13,7694601197085;"via genova 9, 34121 trieste, italy"
"3715";13,9029482;45,8882642;"premise";"rooftop";"gregorciceva ulica 20, 5270 ajdovšcina, slovenia";45,8896171302915;45,8869191697085;13,9042868302915;13,9015888697085;"gregorciceva ulica 20, 5270 ajdovšcina, slovenia"
"3716";12,3279661;45,4434254;"neighborhood";"approximate";"cannaregio, 30100 venice, metropolitan city of venice, italy";45,4493156;45,438304;12,3426171;12,3137328;"cannaregio 168, 30121 venezia, italy"
"3717";12,02184;44,74097;"street_address";"rooftop";"str. luigia, 8, 44020 ostellato fe, italy";44,7423189802915;44,7396210197085;12,0231889802915;12,0204910197085;"strada luigia 8, 44020 san giovanni di ostellato (fe), italy"
"3718";14,1188828;46,3688774;"street_address";"rooftop";"ljubljanska cesta 27, 4260 bled, slovenia";46,3702263802915;46,3675284197085;14,1202317802915;14,1175338197085;"ljubljanska cesta 27, si - 4260 bled, slovenia"
